playerid,mlbamid,name,season,age,g,gs,ip,tbf,h,er,hr,so,bb,ibb,hbp,babip,lob_percent,fip,x_fip,ld_percent,hr_fb,f_bv,c_tv,s_fv,o_swing_percent,c_sw_str_percent,x_era,position,ev90,barrels,barrel_percent,k_percent,bb_percent,k_minus_bb_percent,era,xera_gap,fip_era_gap
25436,669923,George Kirby,2024,26,33,33,191,778,181,75,22,179,23,0,7,0.2906764168190128,0.71587125,3.26072061598613,3.5761652496238656,0.179715302,0.096069868,96.05964912,92.27272727,86.00664452,0.35888078,0.26406197,3.44,SP,103.8,46,0.08084359,23.00771208226221,3.8560411311053984,19.15167095115681,3.5340314136125657,0.09403141361256573,0.2733107976264355
22250,669302,Logan Gilbert,2024,27,33,33,208.2,803,148,75,26,220,37,1,4,0.2364341085271318,0.69462647,3.2671187608317407,3.1110118748995474,0.171641791,0.128712871,96.61382114,92.38095238,84.52926829,0.34274194,0.30078895,3.14,SP,104.8,39,0.07195572,27.397260273972602,5.230386052303861,22.166874221668742,3.2420749279538907,0.10207492795389062,-0.025043832877849947
19879,656557,Tanner Houck,2024,28,30,30,178.2,743,156,62,11,154,48,1,16,0.2821011673151751,0.7086999,3.317599189878971,3.5750677723239668,0.201149425,0.088,93.58803612,87.075,88.49705015,0.33842239,0.29130117,4.11,SP,104.9,30,0.05714286,20.72678331090175,8.748317631224763,11.978465679676988,3.1313131313131315,-0.9786868686868688,-0.18628605856583969
19853,650633,Michael King,2024,29,31,30,173.2,726,144,57,17,201,63,2,7,0.2899543378995434,0.75184017,3.3334663477855027,3.4974666620631862,0.227678571,0.103030303,93.31547619,85.75625,NA,0.32368576,0.31295337,3.56,SP,103.1,28,0.06153846,27.685950413223143,9.917355371900827,17.768595041322314,2.9618937644341803,-0.5981062355658198,-0.37157258335132237
14374,607192,Tyler Glasnow,2024,30,22,22,134,522,92,52,15,168,35,0,0,0.2532894736842105,0.69811321,2.8978230618718848,2.6838001117555064,0.165079365,0.136363636,96.38945421,NA,NA,0.31396439,0.30417495,2.65,SP,104.9,26,0.0815047,32.18390804597701,6.704980842911877,25.478927203065137,3.4925373134328357,0.8425373134328358,0.5947142515609509
19361,669203,Corbin Burnes,2024,29,32,32,194.1,784,165,63,22,181,48,0,2,0.2693032015065913,0.75461455,3.547268810554597,3.5460831610000634,0.173357664,0.116402116,97,95.31818182,NA,0.35964425,0.28561895,3.34,SP,103.4,37,0.06690778,23.08673469387755,6.377551020408164,16.709183673469386,2.921174652241113,-0.418825347758887,-0.6260941583134843
12768,543243,Sonny Gray,2024,34,28,28,166.1,671,142,71,21,203,39,0,3,0.29876543209876544,0.67917206,3.124395608666241,2.819376976380927,0.223557692,0.142857142,92.56756757,87.74318182,NA,0.33870968,0.31174578,3.64,SP,104.3,38,0.08920188,30.25335320417288,6.259314456035768,23.99403874813711,3.8470800722456353,0.20708007224563518,0.7226844635793941
22182,668881,Hunter Greene,2024,24,26,26,150.1,611,96,46,12,169,57,0,19,0.23728813559322035,0.80541237,3.472466484872914,4.194870973319694,0.17679558,0.068571428,97.67161017,NA,87.00469484,0.32740943,0.26687476,3.03,SP,103.3,19,0.05191257,27.659574468085108,12.438625204582651,15.220949263502456,2.7581612258494337,-0.2718387741505661,-0.7143052590234804
17295,664285,Framber Valdez,2024,30,28,28,176.1,703,140,57,13,169,55,0,6,0.27608695652173915,0.77133479,3.2458748656460767,3.0849114306362346,0.193965517,0.139784946,94.1529027,85.0619469,NA,0.31237458,0.2975048,3.41,SP,104.4,25,0.05285412,24.039829302987197,8.677098150782362,15.362731152204836,2.913117546848382,-0.4968824531516183,-0.3327573187976949
20633,579328,Yusei Kikuchi,2024,33,32,32,175.2,736,167,79,25,206,44,0,2,0.3093681917211329,0.71910112,3.456802369442478,3.1990503021500785,0.18789144,0.135135135,95.57569141,NA,NA,0.30915796,0.29665072,3.7,SP,105.2,47,0.09710744,27.98913043478261,6.25,21.73913043478261,4.058219178082192,0.3582191780821917,0.6014168086397138
16400,625643,Reynaldo Lopez,2024,30,26,25,135.2,543,108,30,10,148,42,0,2,0.2873900293255132,0.86956522,2.915865537071293,3.439922898462065,0.224137931,0.075187969,95.54935622,NA,NA,0.32516892,0.28578177,3.94,SP,104.6,31,0.08831909,27.255985267034994,8.103130755064457,19.15285451197054,1.9970414201183435,-1.9429585798816564,-0.9188241169529494
