PlayerId,Name,Team,Acquired,Division,controlled_years,war_under_control,salary_under_control,surplus_value_under_control,aav,war_per_year_of_control
13301,Max Muncy,LAD,Free Agency,NL West,4,7.8,13.2,51.75710343051636,3.3,2
13329,Jake Lamb,ARI,Amateur Draft,NL West,2,1.6,11.9,1.327668184800002,5.95,0.8
13338,Omar Narvaez,SEA,Traded,AL West,4,2.2,9.4,8.618335705827857,2.35,0.6
13355,Luke Maile,TOR,Waivers,AL East,4,2.4,9.6,10.330151010439359,2.4,0.6
13361,Steven Matz,NYM,Amateur Draft,NL East,3,0.2,12.7,-10.939471165728003,4.233333333333333,0.1
13367,Stephen Piscotty,OAK,Traded,AL West,4,5.4,28.9,15.496318314374971,7.225,1.4
13431,Marcus Stroman,TOR,Amateur Draft,AL East,2,2.6,15.8,5.223221061333335,7.9,1.3
13449,Taylor Rogers,MIN,Amateur Draft,AL Central,4,0.6,9.5,-4.538970405120344,2.375,0.2
13475,Daniel Norris,DET,Traded,AL Central,3,0.6,6.2,-1.4457125312159986,2.066666666666667,0.2
13510,Jose Ramirez,CLE,Amateur Free Agent,AL Central,3,17.5,19.7,124.28292087015998,6.566666666666666,5.8
13543,Blake Snell,TBR,Amateur Draft,AL East,5,9.9,47.2,35.77456869740756,9.440000000000001,2
13590,Jesse Winker,CIN,Amateur Draft,NL Central,5,2,1.1,13.005324128799998,0.22000000000000003,0.4
13593,Jose Peraza,CIN,Traded,NL Central,4,5.8,13.7,34.89857581313021,3.425,1.4
13607,Carl Edwards Jr.,CHC,Traded,NL Central,4,0.1,11.2,-10.524394391905325,2.8,0
13608,Mallex Smith,SEA,Traded,AL West,4,7.7,12.8,50.94249594599542,3.2,1.9
13611,Mookie Betts,BOS,Amateur Draft,AL East,2,14.2,49.4,66.14385727999999,24.7,7.1
13613,Ketel Marte,ARI,Traded,NL West,4,5.4,20.7,24.399221188094643,5.175,1.4
13619,Jakob Junis,KCR,Amateur Draft,AL Central,5,0.1,1.1,8.881291655200002,0.22000000000000003,0
13624,Corey Seager,LAD,Amateur Draft,NL West,3,7.6,19.5,43.4673911168,6.5,2.5
13744,David Dahl,COL,Amateur Draft,NL West,5,3.2,0.6,8.1671488,0.12,0.6
13757,Chris Taylor,LAD,Traded,NL West,3,6.9,17,39.93979152921601,5.666666666666667,2.3
13764,Roberto Osuna,HOU,Traded,AL West,3,3.5,31.6,-2.683263014880003,10.533333333333333,1.2
13768,Travis Jankowski,SDP,Amateur Draft,NL West,4,0.8,9.2,-2.99758031984635,2.3,0.2
13769,Adalberto Mondesi,KCR,Amateur Free Agent,AL Central,5,7.4,1.1,28.6081446664,0.22000000000000003,1.5
13774,Zach Eflin,PHI,Traded,NL East,4,2.1,9.4,7.25766732681884,2.35,0.5
13781,Alex Wood,CIN,,NL Central,1,1.7,9.7,4.318102400000001,9.7,1.7
13836,Matt Duffy,TBR,Traded,AL East,2,2.6,6.6,14.237626943199999,3.3,1.3
13853,Joey Wendle,TBR,Traded,AL East,5,5.4,1.1,27.234068410400003,0.22000000000000003,1.1
13862,Devon Travis,TOR,Traded,AL East,3,-0.1,9.4,-10.666428007792002,3.1333333333333333,-0
13911,Scott Oberg,COL,Amateur Draft,NL West,3,0.4,6.3,-3.122142277478404,2.1,0.1
14078,Michael Wacha,STL,Amateur Draft,NL Central,1,1.1,6.3,2.4395897600000005,6.3,1.1
14103,Rio Ruiz,BAL,Waivers,AL East,4,0.7,1.6,5.886379395505999,0.4,0.2
14106,Addison Russell,CHC,Traded,NL Central,3,5,14.1,26.739139314900005,4.7,1.7
14107,Kevin Gausman,ATL,Traded,NL East,2,3,20,4.00928357733337,10,1.5
14120,Lance McCullers Jr.,HOU,Amateur Draft,AL West,3,5,19.9,20.670743805600008,6.633333333333333,1.7
14128,Joey Gallo,TEX,Amateur Draft,AL West,4,8,13,53.20505797149707,3.25,2
14140,Jose Rondon,CHW,Purchased,AL Central,5,0.3,1.6,7.160005200017998,0.32,0.1
14145,Daniel Robertson,TBR,Traded,AL East,5,6.1,0.6,12.817383807999999,0.12,1.2
14161,Byron Buxton,MIN,Amateur Draft,AL Central,4,3.2,11.1,15.558626992317738,2.775,0.8
14162,Carlos Correa,HOU,Amateur Draft,AL West,3,8.4,24.3,44.57947665056,8.1,2.8
14168,Jose Berrios,MIN,Amateur Draft,AL Central,4,6.9,12.6,44.62604780352218,3.15,1.7
14212,Josh Hader,MIL,Traded,NL Central,4,4.1,1.2,21.889123988000005,0.3,1
