Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Nick Solak","TEX",35,95,3,14,4,3,0.07368421,0.2,0.121951219,0.233333333,0.207317073,0.308510638,0.329268292,0.2913809932292776,0.335,88.41020876742276,0.21725330920889974,-1.0217331542875394,-3.3548423051834106,-0.1442521895776302,27,13,1,0,7,0,5,0,1,19,17,82,5,"Nick Solak",19294,669256
"Luke Raley","TBR",22,72,1,7,4,0,0.097222222,0.333333333,0.081967213,0.297297297,0.196721311,0.305555555,0.278688524,0.2712702593869633,0.286,78.22073912636915,-0.24870713660493493,-2.013293735043215,0.19787585735321045,0.0483309548233834,27,9,2,0,7,0,3,1,0,24,12,61,5,"Luke Raley",19354,670042
"Zach McKinstry","- - -",57,185,5,21,14,7,0.086486486,0.281081081,0.162650603,0.256880733,0.19879518,0.273224043,0.361445783,0.28014301960585547,0.288,81.28240007193831,2.9052472431212664,-1.1179215568818526,3.1780797839164734,0.8838086902393132,27,19,6,3,16,0,1,0,2,52,33,166,5,"Zach McKinstry",19392,656716
"Mickey Moniak","- - -",37,112,3,13,8,1,0.035714285,0.392857142,0.132075472,0.254237288,0.16981132,0.207207207,0.301886792,0.2234173288216462,0.206,39.22755550600028,0.3850573133677244,-7.466595222692452,-0.9505125507712364,-0.49760374597527846,24,11,3,1,4,0,1,0,1,44,18,106,5,"Mickey Moniak",19956,666160
"Jake Meyers","HOU",52,160,1,13,15,2,0.04375,0.3375,0.086666667,0.34375,0.226666666,0.26875,0.313333333,0.25750905126333234,0.251,66.01583240116355,0.08516430947929621,-6.033603351792367,4.505650758743286,0.370555489392002,26,25,6,2,7,0,2,1,0,54,34,150,5,"Jake Meyers",20308,676694
"Ernie Clement","- - -",70,179,0,19,6,0,0.061452513,0.145251396,0.024539878,0.217391304,0.184049079,0.242937853,0.208588957,0.20928044103633212,0.277,32.064274187201214,-0.462014262098819,-14.146188452948003,0.9004709720611572,-0.7967127452067535,26,26,4,0,11,0,2,1,2,26,30,163,5,"Ernie Clement",20352,676391
"Kody Clemens","DET",57,127,5,13,17,1,0.062992125,0.259842519,0.162393162,0.148148148,0.145299145,0.196850393,0.307692307,0.22036750673309086,0.252,39.44242521448147,0.5629389211535454,-8.091512376638136,1.2147951126098633,-0.30056099556554877,26,8,4,0,8,0,0,2,0,33,17,117,5,"Kody Clemens",20572,665019
"Akil Baddoo","DET",73,225,2,30,9,9,0.106666666,0.284444444,0.064676617,0.288888888,0.203980099,0.288888888,0.268656716,0.2564973227183024,0.253,64.94931688323345,1.6357393385842443,-7.238810808689944,-2.629295527935028,-0.28941768427370956,23,34,3,2,24,0,0,0,0,64,41,201,5,"Akil Baddoo",22168,668731
"CJ Abrams","- - -",90,302,2,33,21,7,0.016556291,0.165562913,0.077464788,0.29059829,0.246478873,0.28,0.323943661,0.2671266220013301,0.266,71.80761477374249,0.5797827113419771,-9.312240570954891,-4.085803747177124,-0.31709798257110056,21,54,12,2,5,0,9,2,2,50,70,284,5,"CJ Abrams",25768,682928
"Michael Toglia","COL",31,120,2,10,12,1,0.075,0.366666666,0.162162162,0.338461538,0.216216216,0.275,0.378378378,0.2853617121775945,0.261,69.17898957406244,-0.350976740475744,-4.64806708146787,-0.9564043283462524,-0.15547642237904147,23,12,8,2,9,0,0,0,0,44,24,111,5,"Michael Toglia",25845,669911
