Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"DJ Stewart","NYM",74,194,5,16,19,1,0.159793814,0.24742268,0.120253165,0.216981132,0.177215189,0.324742268,0.297468354,0.29001115462214677,0.326,88.37760079904845,0.013759225606918335,-2.682482359066916,-5.579381942749023,-0.18506591958223534,30,19,4,0,31,0,4,1,0,48,28,158,"DJ Stewart",17766,621466
"Matt Thaiss","LAA",57,186,2,14,16,3,0.150537634,0.311827956,0.095541401,0.306122448,0.203821656,0.322580645,0.299363057,0.28602592823325945,0.291,83.21520727169745,-1.3465401604771614,-4.9187300274904775,-2.8348661065101624,-0.15883830051987097,29,21,9,0,28,0,0,1,0,58,32,157,"Matt Thaiss",19318,642136
"Gabriel Arias","CLE",53,161,3,15,15,5,0.03726708,0.329192546,0.130718954,0.31632653,0.222222222,0.254658385,0.352941176,0.26335191208383313,0.274,70.28110656271517,-0.9975686818361282,-6.472316486836319,-1.1151287257671356,-0.22796026439771216,24,21,9,1,6,0,1,1,0,53,34,153,"Gabriel Arias",22563,672356
"Brett Baty","NYM",50,171,4,15,16,0,0.093567251,0.245614035,0.098039216,0.289719626,0.228758169,0.305882352,0.326797385,0.2822889675050092,0.282,83.18003954302495,0.10043859481811523,-3.338958857484001,2.3035181760787964,0.4820430381837662,24,28,3,0,16,1,1,0,1,42,35,153,"Brett Baty",26123,683146
"Ben Rice","NYY",50,178,7,20,23,0,0.11235955,0.269662921,0.177631579,0.186274509,0.171052631,0.264044943,0.34868421,0.2687584282307143,0.34,72.83453500752114,-0.46881169080734253,-6.0015834260077865,-2.722651958465576,-0.28669384777564133,25,13,6,0,20,0,1,5,0,48,26,152,"Ben Rice",29576,700250
"Angel Martínez","CLE",43,169,3,16,11,3,0.088757396,0.195266272,0.105960265,0.273504273,0.231788079,0.297619047,0.337748344,0.28160526709897177,0.271,83.12088924427286,0.6466800421476364,-2.6172577651174898,-3.4799550771713257,-0.04644231941554613,22,25,7,0,15,0,0,2,1,33,35,151,"Angel Martinez",26540,682657
"Luis Matos","SFG",45,156,5,14,25,0,0.032051282,0.153846153,0.133333333,0.221311475,0.213333333,0.237179487,0.346666666,0.24951254629319713,0.267,59.572624537054566,-0.045903876423835754,-7.587468045222084,-5.083774387836456,-0.7713411487309163,22,22,5,0,5,1,0,1,0,24,32,150,"Luis Matos",26467,682641
"Nick Loftin","KCR",57,171,1,15,14,1,0.111111111,0.140350877,0.047297297,0.216,0.189189189,0.282352941,0.236486486,0.24212010432692135,0.283,49.6342469586841,0.11505056172609329,-9.739505158065443,1.79718766361475,-0.23009800643689435,25,23,4,0,19,0,1,2,1,24,28,148,"Nick Loftin",27630,679845
"Nick Martini","CIN",52,163,5,23,24,1,0.055214723,0.233128834,0.157534246,0.245283018,0.212328767,0.271604938,0.369863013,0.2787828073825365,0.276,70.83198968935463,-0.9228263273835182,-6.608156531828833,-3.6801164597272873,-0.5011231417674837,34,20,4,2,9,0,4,3,0,38,31,146,"Nick Martini",12005,605361
"Kyle Manzardo","CLE",53,156,5,11,15,0,0.057692307,0.262820512,0.186206897,0.29,0.234482758,0.282051282,0.420689655,0.30264653723973495,0.271,97.9217483590648,0.012215651571750641,-0.35874542034505186,-4.57750278711319,0.028593012220320013,23,17,12,0,9,0,1,1,0,41,34,145,"Kyle Manzardo",29794,700932
"Victor Scott II","STL",53,155,2,14,10,5,0.038709677,0.270967741,0.103448276,0.233009708,0.179310344,0.219354838,0.28275862,0.22058107429935087,0.246,39.60056626539706,0.873636282980442,-10.321408869311938,1.0297981202602386,-0.42574479490426054,23,15,9,0,6,0,2,2,0,42,26,145,"Victor Scott II",31349,687363
