Name,PlayerId,Age,player_type,mlbamid,compound_id,display_name,position_detail,position
Ben Williamson,33197,25,hitter,810938,33197_hitter,Ben Williamson,Hitter,NA
Billy Cook,29573,27,hitter,695257,29573_hitter,Billy Cook,Hitter,NA
Blade Tidwell,31701,25,pitcher,694918,31701_pitcher,Blade Tidwell,RP,RP
Blake Perkins,19921,29,hitter,663368,19921_hitter,Blake Perkins,Hitter,NA
Blake Treinen,12572,38,pitcher,595014,12572_pitcher,Blake Treinen,RP,RP
Blaze Alexander,23789,27,hitter,677942,23789_hitter,Blaze Alexander,Hitter,NA
Bo Bichette,19612,28,hitter,666182,19612_hitter,Bo Bichette,Hitter,NA
Bo Naylor,21865,26,hitter,666310,21865_hitter,Bo Naylor,Hitter,NA
Bobby Witt Jr.,25764,26,hitter,677951,25764_hitter,Bobby Witt Jr.,Hitter,NA
Brad Keller,15734,30,pitcher,641745,15734_pitcher,Brad Keller,RP,RP
Brad Lord,31972,26,pitcher,695418,31972_pitcher,Brad Lord,RP,RP
Bradgley Rodriguez,29107,22,pitcher,699134,29107_pitcher,Bradgley Rodriguez,RP,RP
Brady House,29993,23,hitter,691781,29993_hitter,Brady House,Hitter,NA
Brady Singer,25377,29,pitcher,663903,25377_pitcher,Brady Singer,SP,SP
Brandon Eisert,27668,28,pitcher,685126,27668_pitcher,Brandon Eisert,RP,RP
Brandon Lockridge,21496,29,hitter,663604,21496_hitter,Brandon Lockridge,Hitter,NA
Brandon Lowe,18882,31,hitter,664040,18882_hitter,Brandon Lowe,Hitter,NA
Brandon Marsh,20202,28,hitter,669016,20202_hitter,Brandon Marsh,Hitter,NA
Brandon Nimmo,12927,33,hitter,607043,12927_hitter,Brandon Nimmo,Hitter,NA
Brandon Pfaadt,27782,27,pitcher,694297,27782_pitcher,Brandon Pfaadt,SP,SP
Brandon Sproat,33850,25,pitcher,687075,33850_pitcher,Brandon Sproat,RP,RP
Brandon Valenzuela,23813,25,hitter,678218,23813_hitter,Brandon Valenzuela,Hitter,NA
Brandon Williamson,25463,28,pitcher,682227,25463_pitcher,Brandon Williamson,SP,SP
Brandon Woodruff,16162,33,pitcher,605540,16162_pitcher,Brandon Woodruff,SP,SP
Brandon Young,27819,27,pitcher,687064,27819_pitcher,Brandon Young,SP,SP
Brant Hurter,30133,27,pitcher,676428,30133_pitcher,Brant Hurter,RP,RP
Braxton Ashcraft,23793,26,pitcher,677952,23793_pitcher,Braxton Ashcraft,SP,SP
Braxton Fulford,29704,27,hitter,690924,29704_hitter,Braxton Fulford,Hitter,NA
Brayan Bello,23920,27,pitcher,678394,23920_pitcher,Brayan Bello,SP,SP
Brayan Rocchio,23690,25,hitter,677587,23690_hitter,Brayan Rocchio,Hitter,NA
Braydon Fisher,24609,25,pitcher,680755,24609_pitcher,Braydon Fisher,RP,RP
Brendan Donovan,24679,29,hitter,680977,24679_hitter,Brendan Donovan,Hitter,NA
Brendon Little,21574,29,pitcher,663893,21574_pitcher,Brendon Little,RP,RP
Brennan Bernardino,16835,34,pitcher,657514,16835_pitcher,Brennan Bernardino,RP,RP
Brent Headrick,27702,28,pitcher,687396,27702_pitcher,Brent Headrick,RP,RP
Brent Rooker,19627,31,hitter,667670,19627_hitter,Brent Rooker,Hitter,NA
Brent Suter,13942,36,pitcher,608718,13942_pitcher,Brent Suter,RP,RP
Brenton Doyle,25479,28,hitter,686668,25479_hitter,Brenton Doyle,Hitter,NA
Brett Baty,26123,26,hitter,683146,26123_hitter,Brett Baty,Hitter,NA
Brett Sullivan,18217,32,hitter,664954,18217_hitter,Brett Sullivan,Hitter,NA
Brice Matthews,33280,24,hitter,694728,33280_hitter,Brice Matthews,Hitter,NA
Brice Turang,22186,26,hitter,668930,22186_hitter,Brice Turang,Hitter,NA
Brock Burke,17968,29,pitcher,656271,17968_pitcher,Brock Burke,RP,RP
Brooks Lee,31595,25,hitter,686797,31595_hitter,Brooks Lee,Hitter,NA
Brooks Raley,10061,38,pitcher,548384,10061_pitcher,Brooks Raley,RP,RP
Bryan Abreu,16609,29,pitcher,650556,16609_pitcher,Bryan Abreu,RP,RP
Bryan Baker,19804,31,pitcher,641329,19804_pitcher,Bryan Baker,RP,RP
Bryan Hudson,19924,29,pitcher,663542,19924_pitcher,Bryan Hudson,RP,RP
Bryan King,25890,29,pitcher,687911,25890_pitcher,Bryan King,RP,RP
Bryan Reynolds,19326,31,hitter,668804,19326_hitter,Bryan Reynolds,Hitter,NA
Bryan Woo,30279,26,pitcher,693433,30279_pitcher,Bryan Woo,SP,SP
Bryce Elder,27779,27,pitcher,693821,27779_pitcher,Bryce Elder,SP,SP
Bryce Harper,11579,33,hitter,547180,11579_hitter,Bryce Harper,Hitter,NA
Bryce Johnson,20002,30,hitter,669369,20002_hitter,Bryce Johnson,Hitter,NA
Bryce Teodosio,29524,27,hitter,669326,29524_hitter,Bryce Teodosio,Hitter,NA
Bryson Stott,26294,28,hitter,681082,26294_hitter,Bryson Stott,Hitter,NA
Bubba Chandler,29868,23,pitcher,696149,29868_pitcher,Bubba Chandler,SP,SP
Byron Buxton,14161,32,hitter,621439,14161_hitter,Byron Buxton,Hitter,NA
CJ Abrams,25768,25,hitter,682928,25768_hitter,CJ Abrams,Hitter,NA
CJ Kayfus,33704,24,hitter,692216,33704_hitter,CJ Kayfus,Hitter,NA
Cade Cavalli,27473,27,pitcher,676917,27473_pitcher,Cade Cavalli,SP,SP
Cade Horton,31872,24,pitcher,690990,31872_pitcher,Cade Horton,SP,SP
Cade Povich,30055,26,pitcher,700249,30055_pitcher,Cade Povich,SP,SP
Cade Smith,27867,27,pitcher,671922,27867_pitcher,Cade Smith,RP,RP
Cal Raleigh,21534,29,hitter,663728,21534_hitter,Cal Raleigh,Hitter,NA
Caleb Durbin,29646,26,hitter,702332,29646_hitter,Caleb Durbin,Hitter,NA
Caleb Kilian,26213,29,pitcher,668873,26213_pitcher,Caleb Kilian,RP,RP
Caleb Thielbar,10078,39,pitcher,573204,10078_pitcher,Caleb Thielbar,RP,RP
Calvin Faucher,20116,30,pitcher,676534,20116_pitcher,Calvin Faucher,RP,RP
Cam Smith,35108,23,hitter,701358,35108_hitter,Cam Smith,Hitter,NA
Cameron Schlittler,32095,25,pitcher,693645,32095_pitcher,Cameron Schlittler,SP,SP
Camilo Doval,21992,28,pitcher,666808,21992_pitcher,Camilo Doval,RP,RP
Carlos Correa,14162,31,hitter,621043,14162_hitter,Carlos Correa,Hitter,NA
Carlos Cortes,21842,29,hitter,666126,21842_hitter,Carlos Cortes,Hitter,NA
Carlos Narvaez,19722,27,hitter,665966,19722_hitter,Carlos Narvaez,Hitter,NA
Carlos Santana,2396,40,hitter,467793,2396_hitter,Carlos Santana,Hitter,NA
Carmen Mlodzinski,27572,27,pitcher,669387,27572_pitcher,Carmen Mlodzinski,SP,SP
Carson Benge,35177,23,hitter,701807,35177_hitter,Carson Benge,Hitter,NA
Carson Kelly,13620,31,hitter,608348,13620_hitter,Carson Kelly,Hitter,NA
Carson Williams,30038,23,hitter,700246,30038_hitter,Carson Williams,Hitter,NA
Carter Baumler,30231,24,pitcher,691945,30231_pitcher,Carter Baumler,RP,RP
Carter Jensen,29478,22,hitter,695600,29478_hitter,Carter Jensen,Hitter,NA
Casey Legumina,25921,29,pitcher,668984,25921_pitcher,Casey Legumina,RP,RP
Casey Mize,20492,29,pitcher,663554,20492_pitcher,Casey Mize,SP,SP
Casey Schmitt,27577,27,hitter,669477,27577_hitter,Casey Schmitt,Hitter,NA
Ceddanne Rafaela,24262,25,hitter,678882,24262_hitter,Ceddanne Rafaela,Hitter,NA
Cedric Mullins,17929,31,hitter,656775,17929_hitter,Cedric Mullins,Hitter,NA
Chad Patrick,30113,27,pitcher,694477,30113_pitcher,Chad Patrick,SP,SP
Chandler Simpson,31912,25,hitter,802415,31912_hitter,Chandler Simpson,Hitter,NA
Charlie Barnes,19865,30,pitcher,656212,19865_pitcher,Charlie Barnes,RP,RP
Chase Burns,35333,23,pitcher,695505,35333_pitcher,Chase Burns,SP,SP
Chase DeLauter,32127,24,hitter,800050,32127_hitter,Chase DeLauter,Hitter,NA
Chase Dollander,33482,24,pitcher,801403,33482_pitcher,Chase Dollander,RP,RP
Chase Meidroth,31580,24,hitter,805367,31580_hitter,Chase Meidroth,Hitter,NA
Chase Silseth,30074,26,pitcher,681217,30074_pitcher,Chase Silseth,RP,RP
Chris Bassitt,12304,37,pitcher,605135,12304_pitcher,Chris Bassitt,SP,SP
Chris Martin,11847,40,pitcher,455119,11847_pitcher,Chris Martin,RP,RP
Chris Murphy,26214,28,pitcher,669684,26214_pitcher,Chris Murphy,RP,RP
Chris Paddack,20099,30,pitcher,663978,20099_pitcher,Chris Paddack,SP,SP
Chris Roycroft,31261,29,pitcher,688297,31261_pitcher,Chris Roycroft,RP,RP
Chris Sale,10603,37,pitcher,519242,10603_pitcher,Chris Sale,SP,SP
Christian Koss,27653,28,hitter,683766,27653_hitter,Christian Koss (Hitter),Hitter,NA
Christian Koss,27653,28,pitcher,683766,27653_pitcher,Christian Koss (RP),RP,RP
Christian Roa,27662,27,pitcher,685005,27662_pitcher,Christian Roa,RP,RP
Christian Vazquez,9774,35,hitter,543877,9774_hitter,Christian Vazquez,Hitter,NA
Christian Walker,13419,35,hitter,572233,13419_hitter,Christian Walker,Hitter,NA
Christian Yelich,11477,34,hitter,592885,11477_hitter,Christian Yelich,Hitter,NA
Cionel Perez,19614,30,pitcher,672335,19614_pitcher,Cionel Perez,RP,RP
Clay Holmes,13649,33,pitcher,605280,13649_pitcher,Clay Holmes,SP,SP
Clayton Beeter,27494,27,pitcher,690925,27494_pitcher,Clayton Beeter,RP,RP
Coby Mayo,28312,24,hitter,691723,28312_hitter,Coby Mayo,Hitter,NA
Cody Bellinger,15998,30,hitter,641355,15998_hitter,Cody Bellinger,Hitter,NA
Cody Bolton,23265,28,pitcher,675989,23265_pitcher,Cody Bolton,SP,SP
Cody Laweryson,26429,28,pitcher,689520,26429_pitcher,Cody Laweryson,RP,RP
Cody Ponce,17920,32,pitcher,664074,17920_pitcher,Cody Ponce,SP,SP
