Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,mlbamid,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff,player_type,AVG_lg_adj_diff,OBP_lg_adj_diff,SLG_lg_adj_diff,K_pct_lg_adj_diff,BB_pct_lg_adj_diff,Barrel_pct_lg_adj_diff,BABIP_lg_adj_diff,wOBA_lg_adj_diff,xwOBA_lg_adj_diff,xwOBA_wOBA_gap_lg_adj_diff
Alek Thomas,23792,0.181,0.222,0.34,23,3,6,0.217,0.247,0.292,0.045,100,26,677950,0.241,0.283,0.369,24.444,4.745,5.17,0.303,0.283,0.294,0.011,974,-0.06,-0.06,-0.029,-1.444,-1.745,0.83,-0.086,-0.036,-0.002,0.034,hitter,-0.058,-0.065,-0.023,-1.068,-2.533,1.057,-0.083,-0.041,-0.006,0.035
Alex Bregman,17678,0.251,0.339,0.354,16.517,10.511,3.604,0.289,0.313,0.315,0.003,333,32,608324,0.266,0.344,0.455,13.625,9.39,4.744,0.276,0.346,0.332,-0.013,1853,-0.015,-0.004,-0.101,2.892,1.12,-1.141,0.012,-0.033,-0.017,0.016,hitter,-0.013,-0.009,-0.096,3.268,0.332,-0.914,0.015,-0.038,-0.021,0.017
Alex Call,19296,0.256,0.369,0.314,14.563,12.621,0.971,0.306,0.319,0.287,-0.032,103,31,669743,0.266,0.36,0.391,17.169,11.265,3.266,0.311,0.333,0.315,-0.019,874,-0.01,0.009,-0.077,-2.606,1.357,-2.295,-0.005,-0.015,-0.028,-0.013,hitter,-0.008,0.004,-0.071,-2.23,0.568,-2.069,-0.002,-0.019,-0.032,-0.013
Alex Freeland,31665,0.225,0.309,0.331,27.879,10.303,4.242,0.305,0.29,0.294,0.005,165,24,690976,0.19,0.292,0.31,36.082,11.34,4.124,0.298,0.273,0.258,-0.015,97,0.035,0.017,0.021,-8.204,-1.037,0.119,0.007,0.017,0.036,0.019,hitter,0.037,0.012,0.027,-7.828,-1.826,0.346,0.01,0.012,0.032,0.02
Alex Jackson,17276,0.289,0.308,0.368,33.333,0,0,0.44,0.3,0.188,-0.112,39,30,656577,0.173,0.247,0.36,35.648,6.321,6.632,0.235,0.266,0.247,-0.019,255,0.116,0.06,0.008,-2.314,-6.321,-6.632,0.205,0.034,-0.06,-0.093,hitter,0.119,0.056,0.014,-1.938,-7.11,-6.405,0.208,0.029,-0.064,-0.093
Ali Sanchez,18551,0.2,0.273,0.3,45.455,9.091,0,0.4,0.26,0.248,-0.012,11,29,645305,0.183,0.213,0.226,25.31,2.978,5.955,0.25,0.195,0.225,0.03,119,0.017,0.06,0.074,20.144,6.113,-5.955,0.15,0.065,0.023,-0.042,hitter,0.02,0.055,0.08,20.52,5.325,-5.728,0.153,0.06,0.019,-0.041
Alika Williams,27604,0.31,0.341,0.5,24.444,4.444,0,0.4,0.365,0.224,-0.141,45,27,675961,0.204,0.25,0.285,25.25,4.5,2.75,0.284,0.237,0.249,0.012,208,0.105,0.091,0.215,-0.806,-0.056,-2.75,0.116,0.128,-0.025,-0.152,hitter,0.107,0.086,0.221,-0.43,-0.844,-2.523,0.119,0.123,-0.029,-0.152
Amed Rosario,15518,0.252,0.292,0.476,21.239,6.195,7.965,0.263,0.327,0.324,-0.003,113,30,642708,0.275,0.307,0.401,18.637,3.586,3.743,0.325,0.307,0.305,-0.002,1082,-0.023,-0.015,0.075,2.602,2.609,4.221,-0.061,0.02,0.019,-0.001,hitter,-0.02,-0.02,0.081,2.978,1.821,4.448,-0.058,0.015,0.015,-0.001
Andres Chaparro,21797,0.172,0.368,0.276,18.421,23.684,2.632,0.227,0.313,0.379,0.066,38,27,665953,0.199,0.264,0.339,23.916,6.045,5.65,0.242,0.266,0.278,0.012,205,-0.027,0.104,-0.063,-5.495,17.64,-3.019,-0.015,0.047,0.101,0.054,hitter,-0.025,0.1,-0.057,-5.119,16.851,-2.792,-0.012,0.042,0.096,0.054
Andres Gimenez,19950,0.227,0.272,0.371,19.838,3.239,2.429,0.257,0.284,0.26,-0.024,247,27,665926,0.234,0.295,0.337,16.812,5.39,2.454,0.267,0.28,0.301,0.021,1618,-0.007,-0.023,0.034,3.026,-2.151,-0.025,-0.01,0.004,-0.042,-0.045,hitter,-0.005,-0.027,0.04,3.402,-2.939,0.202,-0.007,-0.001,-0.046,-0.045
