Name,PlayerId,AVG_cur,OBP_cur,SLG_cur,K_pct_cur,BB_pct_cur,Barrel_pct_cur,BABIP_cur,wOBA_cur,xwOBA_cur,xwOBA_wOBA_gap_cur,PA_cur,Age,mlbamid,AVG_l3,OBP_l3,SLG_l3,K_pct_l3,BB_pct_l3,Barrel_pct_l3,BABIP_l3,wOBA_l3,xwOBA_l3,xwOBA_wOBA_gap_l3,PA_l3,AVG_diff,OBP_diff,SLG_diff,K_pct_diff,BB_pct_diff,Barrel_pct_diff,BABIP_diff,wOBA_diff,xwOBA_diff,xwOBA_wOBA_gap_diff,player_type,AVG_lg_adj_diff,OBP_lg_adj_diff,SLG_lg_adj_diff,K_pct_lg_adj_diff,BB_pct_lg_adj_diff,Barrel_pct_lg_adj_diff,BABIP_lg_adj_diff,wOBA_lg_adj_diff,xwOBA_lg_adj_diff,xwOBA_wOBA_gap_lg_adj_diff
Brandon Lockridge,21496,0.294,0.368,0.341,26.042,10.417,1.042,0.417,0.325,0.277,-0.048,96,29,663604,0.228,0.271,0.305,24.742,5.155,2.32,0.303,0.254,0.263,0.009,160,0.066,0.098,0.037,1.299,5.262,-1.278,0.113,0.071,0.013,-0.057,hitter,0.068,0.093,0.042,1.675,4.474,-1.051,0.116,0.066,0.009,-0.057
Brandon Lowe,18882,0.239,0.321,0.511,26.087,10.368,7.692,0.265,0.358,0.348,-0.01,299,31,664040,0.251,0.31,0.473,26.81,7.574,8.155,0.292,0.334,0.338,0.003,1414,-0.012,0.011,0.039,-0.723,2.794,-0.462,-0.028,0.024,0.01,-0.014,hitter,-0.01,0.006,0.044,-0.347,2.006,-0.235,-0.025,0.019,0.006,-0.013
Brandon Marsh,20202,0.324,0.359,0.504,24.046,4.962,4.962,0.4,0.373,0.333,-0.039,262,28,669016,0.269,0.341,0.436,28.72,9.913,5.466,0.361,0.337,0.327,-0.01,1373,0.055,0.018,0.068,-4.675,-4.951,-0.504,0.039,0.036,0.006,-0.03,hitter,0.057,0.013,0.074,-4.299,-5.74,-0.277,0.042,0.031,0.002,-0.029
Brandon Nimmo,12927,0.257,0.329,0.408,20.724,7.895,7.566,0.309,0.326,0.372,0.046,304,33,607043,0.251,0.33,0.427,22.34,9.358,5.969,0.293,0.329,0.329,-0,1997,0.006,-0.001,-0.019,-1.617,-1.463,1.597,0.016,-0.004,0.042,0.046,hitter,0.008,-0.005,-0.014,-1.241,-2.251,1.824,0.019,-0.009,0.038,0.047
Brandon Valenzuela,23813,0.254,0.338,0.454,22.819,11.409,6.04,0.289,0.348,0.35,0.002,149,25,678218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Braxton Fulford,29704,0.219,0.308,0.375,35.897,12.821,2.564,0.316,0.299,0.238,-0.061,39,27,690924,0.213,0.267,0.324,30,5.833,3.333,0.297,0.258,0.262,0.003,120,0.006,0.041,0.051,5.897,6.987,-0.769,0.018,0.041,-0.024,-0.065,hitter,0.008,0.036,0.057,6.273,6.199,-0.542,0.021,0.036,-0.028,-0.064
Brayan Rocchio,23690,0.269,0.347,0.392,13.027,8.429,2.299,0.293,0.331,0.313,-0.017,261,25,677587,0.223,0.293,0.33,20.499,7.394,2.435,0.269,0.277,0.285,0.008,911,0.046,0.055,0.062,-7.472,1.035,-0.136,0.024,0.054,0.029,-0.025,hitter,0.048,0.05,0.068,-7.096,0.247,0.091,0.027,0.049,0.025,-0.025
Brendan Donovan,24679,0.274,0.386,0.452,14.851,10.891,2.97,0.299,0.373,0.345,-0.028,101,29,680977,0.283,0.349,0.42,12.872,7.834,5.61,0.309,0.336,0.342,0.007,1538,-0.009,0.037,0.032,1.979,3.058,-2.64,-0.01,0.037,0.003,-0.034,hitter,-0.007,0.032,0.038,2.355,2.269,-2.413,-0.007,0.032,-0.002,-0.034
Brent Rooker,19627,0.2,0.281,0.389,32.02,9.36,8.867,0.243,0.294,0.312,0.018,203,31,667670,0.27,0.344,0.506,25.209,9.398,9.5,0.321,0.362,0.36,-0.003,1839,-0.07,-0.063,-0.117,6.811,-0.038,-0.633,-0.078,-0.068,-0.047,0.021,hitter,-0.068,-0.068,-0.111,7.187,-0.827,-0.406,-0.075,-0.073,-0.052,0.021
Brenton Doyle,25479,0.207,0.279,0.27,32.787,9.016,3.279,0.314,0.254,0.248,-0.005,122,28,686668,0.24,0.288,0.399,26.369,6.288,7.059,0.299,0.297,0.307,0.01,1572,-0.033,-0.009,-0.128,6.418,2.728,-3.78,0.015,-0.043,-0.059,-0.015,hitter,-0.031,-0.014,-0.123,6.794,1.94,-3.553,0.018,-0.048,-0.063,-0.015
Brett Baty,26123,0.226,0.303,0.318,28.163,8.98,4.49,0.313,0.283,0.292,0.009,245,26,683146,0.245,0.307,0.403,25.31,7.903,7.25,0.298,0.309,0.321,0.012,992,-0.019,-0.004,-0.085,2.853,1.076,-2.76,0.015,-0.027,-0.029,-0.002,hitter,-0.017,-0.009,-0.079,3.229,0.288,-2.534,0.018,-0.031,-0.033,-0.002
Brett Harris,29788,0,0.333,0,33.333,16.667,0,0,0.239,0.26,0.021,6,28,695391,0.215,0.315,0.306,22.814,10.9,2.788,0.276,0.283,0.282,-0.002,207,-0.215,0.018,-0.306,10.52,5.767,-2.788,-0.276,-0.044,-0.021,0.023,hitter,-0.213,0.014,-0.3,10.896,4.978,-2.561,-0.273,-0.049,-0.026,0.023
Brett Sullivan,18217,0.218,0.257,0.396,20,4.545,2.727,0.234,0.283,0.271,-0.012,110,32,664954,0.195,0.264,0.289,25.275,6.593,4.945,0.235,0.247,0.257,0.01,112,0.023,-0.007,0.107,-5.275,-2.048,-2.218,-0.001,0.035,0.014,-0.022,hitter,0.025,-0.012,0.112,-4.899,-2.836,-1.991,0.002,0.031,0.01,-0.021
Brice Matthews,33280,0.211,0.261,0.357,31.351,6.486,5.946,0.278,0.273,0.282,0.01,185,24,694728,0.167,0.222,0.452,42.553,4.255,12.766,0.167,0.287,0.294,0.008,47,0.044,0.039,-0.096,-11.202,2.231,-6.82,0.111,-0.014,-0.012,0.002,hitter,0.046,0.034,-0.09,-10.826,1.443,-6.593,0.114,-0.019,-0.016,0.003
Brice Turang,22186,0.266,0.383,0.472,24.333,16,5.333,0.331,0.373,0.364,-0.009,300,26,668930,0.271,0.339,0.395,20.696,9.25,3.875,0.329,0.322,0.318,-0.005,1726,-0.005,0.044,0.077,3.637,6.75,1.458,0.002,0.051,0.047,-0.004,hitter,-0.002,0.039,0.082,4.013,5.962,1.685,0.005,0.046,0.042,-0.003
Brooks Lee,31595,0.239,0.296,0.416,16.187,6.835,3.597,0.25,0.312,0.277,-0.036,278,25,686797,0.233,0.281,0.361,16.959,5.893,4.169,0.255,0.28,0.286,0.006,712,0.006,0.015,0.055,-0.772,0.941,-0.572,-0.005,0.033,-0.01,-0.042,hitter,0.008,0.01,0.061,-0.396,0.153,-0.345,-0.002,0.028,-0.014,-0.042
Bryan Reynolds,19326,0.28,0.4,0.47,20.938,15.313,6.25,0.339,0.383,0.372,-0.011,320,31,668804,0.257,0.328,0.424,24.574,8.503,6.582,0.321,0.327,0.344,0.017,1986,0.023,0.072,0.046,-3.637,6.809,-0.332,0.017,0.056,0.028,-0.028,hitter,0.025,0.067,0.052,-3.261,6.021,-0.105,0.02,0.051,0.024,-0.027
Bryan Torres,21464,0.238,0.319,0.429,14.583,10.417,4.167,0.242,0.329,0.333,0.004,48,28,663494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryce Eldridge,33390,0.317,0.405,0.548,20.661,13.223,8.264,0.373,0.416,0.404,-0.012,121,21,805811,0.107,0.297,0.179,35.135,18.919,10.811,0.188,0.242,0.362,0.12,37,0.21,0.108,0.37,-14.474,-5.696,-2.546,0.186,0.174,0.042,-0.133,hitter,0.212,0.103,0.375,-14.098,-6.484,-2.319,0.189,0.17,0.038,-0.132
Bryce Harper,11579,0.25,0.36,0.484,18.482,15.182,8.581,0.258,0.365,0.406,0.042,303,33,547180,0.273,0.367,0.502,21.315,12.324,7.792,0.312,0.37,0.367,-0.003,1757,-0.023,-0.007,-0.018,-2.833,2.857,0.789,-0.054,-0.005,0.039,0.045,hitter,-0.021,-0.012,-0.012,-2.457,2.069,1.016,-0.051,-0.01,0.035,0.045
Bryce Johnson,20002,0.178,0.229,0.222,36.735,6.122,0,0.296,0.208,0.173,-0.036,49,30,669369,0.288,0.341,0.361,21.252,5.822,2.475,0.369,0.312,0.31,-0.003,205,-0.11,-0.112,-0.139,15.483,0.3,-2.475,-0.072,-0.104,-0.137,-0.033,hitter,-0.108,-0.116,-0.133,15.859,-0.488,-2.248,-0.069,-0.109,-0.142,-0.033
Bryce Teodosio,29524,0.213,0.26,0.255,35.294,5.882,3.922,0.345,0.236,0.203,-0.033,51,27,669326,0.197,0.241,0.293,31.807,3.181,2.545,0.287,0.235,0.217,-0.018,162,0.016,0.019,-0.038,3.488,2.702,1.377,0.058,0.001,-0.014,-0.015,hitter,0.018,0.015,-0.032,3.863,1.913,1.604,0.061,-0.004,-0.019,-0.015
Bryson Stott,26294,0.23,0.288,0.391,17.063,7.143,5.159,0.258,0.299,0.312,0.014,252,28,681082,0.256,0.324,0.383,16.185,9.082,3.357,0.287,0.31,0.31,0,1771,-0.025,-0.036,0.009,0.879,-1.939,1.801,-0.029,-0.011,0.002,0.013,hitter,-0.023,-0.04,0.014,1.255,-2.728,2.028,-0.026,-0.016,-0.002,0.014
Buddy Kennedy,22505,0,0.125,0,37.5,12.5,0,0,0.088,0.191,0.104,8,27,671083,0.112,0.217,0.19,25.094,9.738,4.12,0.139,0.195,0.27,0.075,87,-0.112,-0.092,-0.19,12.406,2.762,-4.12,-0.139,-0.107,-0.079,0.028,hitter,-0.11,-0.097,-0.184,12.782,1.974,-3.893,-0.136,-0.112,-0.084,0.029
Byron Buxton,14161,0.275,0.336,0.601,26.148,7.42,12.367,0.296,0.397,0.35,-0.047,283,32,621439,0.264,0.326,0.535,27.15,7.107,10.329,0.309,0.362,0.348,-0.014,1277,0.011,0.009,0.066,-1.002,0.313,2.038,-0.013,0.035,0.002,-0.034,hitter,0.014,0.005,0.072,-0.626,-0.475,2.265,-0.01,0.031,-0.003,-0.033
CJ Abrams,25768,0.285,0.37,0.506,20.455,9.416,6.818,0.321,0.379,0.353,-0.026,308,25,682928,0.252,0.313,0.43,20.143,6.023,5.237,0.291,0.321,0.311,-0.01,1851,0.033,0.057,0.075,0.312,3.392,1.581,0.031,0.058,0.041,-0.017,hitter,0.035,0.052,0.081,0.688,2.604,1.808,0.034,0.053,0.037,-0.016
CJ Kayfus,33704,0.182,0.28,0.364,32,8,12,0.231,0.29,0.305,0.015,25,24,692216,0.22,0.292,0.415,27.536,7.971,5.797,0.28,0.306,0.322,0.017,138,-0.038,-0.012,-0.051,4.464,0.029,6.203,-0.05,-0.016,-0.018,-0.002,hitter,-0.035,-0.017,-0.045,4.84,-0.759,6.43,-0.047,-0.021,-0.022,-0.001
Cal Raleigh,21534,0.165,0.249,0.317,30.811,10.27,7.027,0.196,0.255,0.292,0.038,185,29,663728,0.237,0.339,0.527,27.2,12.529,10.355,0.252,0.364,0.359,-0.005,1902,-0.072,-0.09,-0.21,3.611,-2.259,-3.328,-0.056,-0.109,-0.066,0.043,hitter,-0.07,-0.095,-0.204,3.987,-3.047,-3.101,-0.053,-0.114,-0.071,0.043
Caleb Durbin,29646,0.19,0.25,0.307,14.159,5.752,2.212,0.209,0.25,0.28,0.03,226,26,702332,0.256,0.334,0.387,9.881,5.929,3.162,0.265,0.319,0.312,-0.007,506,-0.066,-0.084,-0.079,4.278,-0.177,-0.95,-0.056,-0.07,-0.032,0.037,hitter,-0.064,-0.089,-0.073,4.654,-0.965,-0.723,-0.053,-0.074,-0.036,0.038
Cam Smith,35108,0.219,0.301,0.356,27.143,9.286,7.857,0.283,0.295,0.336,0.04,280,23,701358,0.236,0.312,0.358,27.789,8.722,4.26,0.32,0.298,0.304,0.007,493,-0.017,-0.011,-0.002,-0.646,0.564,3.598,-0.037,-0.003,0.031,0.034,hitter,-0.015,-0.016,0.004,-0.27,-0.225,3.824,-0.034,-0.007,0.027,0.034
Carlos Correa,14162,0.279,0.369,0.418,18.44,12.766,7.092,0.33,0.348,0.364,0.016,141,31,621043,0.278,0.343,0.428,19.105,8.781,5.521,0.325,0.336,0.341,0.005,1531,0.001,0.026,-0.01,-0.665,3.985,1.572,0.005,0.013,0.024,0.011,hitter,0.003,0.021,-0.005,-0.289,3.197,1.799,0.008,0.008,0.019,0.011
Carlos Cortes,21842,0.289,0.374,0.457,11.111,10.606,6.566,0.301,0.367,0.365,-0.002,198,29,666126,0.309,0.323,0.543,20.202,3.03,7.071,0.347,0.363,0.316,-0.047,99,-0.019,0.051,-0.086,-9.091,7.576,-0.505,-0.046,0.004,0.049,0.045,hitter,-0.017,0.046,-0.08,-8.715,6.787,-0.278,-0.043,-0.001,0.044,0.045
Carlos Narvaez,19722,0.207,0.278,0.298,30.597,7.463,3.731,0.295,0.263,0.277,0.014,134,27,665966,0.241,0.307,0.416,25.187,8.615,5.934,0.296,0.314,0.294,-0.02,461,-0.034,-0.029,-0.118,5.41,-1.153,-2.203,-0.001,-0.051,-0.017,0.034,hitter,-0.032,-0.033,-0.113,5.786,-1.941,-1.976,0.002,-0.056,-0.021,0.035
Carlos Santana,2396,0.083,0.154,0.125,30.769,7.692,0,0.125,0.137,0.187,0.05,26,40,467793,0.229,0.317,0.374,17.942,10.899,4.255,0.253,0.305,0.307,0.002,1687,-0.146,-0.163,-0.249,12.827,-3.207,-4.255,-0.128,-0.168,-0.12,0.048,hitter,-0.143,-0.168,-0.244,13.203,-3.995,-4.028,-0.125,-0.173,-0.124,0.048
Carson Benge,35177,0.251,0.313,0.376,21.942,6.835,6.115,0.305,0.308,0.348,0.04,278,23,701807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carson Kelly,13620,0.272,0.349,0.361,16.931,8.995,4.762,0.321,0.323,0.319,-0.004,189,31,608348,0.244,0.324,0.405,18.936,9.828,5.853,0.27,0.32,0.316,-0.004,885,0.028,0.025,-0.044,-2.005,-0.833,-1.091,0.051,0.003,0.003,0.001,hitter,0.03,0.02,-0.038,-1.629,-1.622,-0.864,0.054,-0.002,-0.001,0.001
Carson Williams,30038,0.1,0.156,0.133,33.333,6.061,0,0.158,0.139,0.198,0.058,33,23,700246,0.172,0.219,0.354,41.509,5.66,4.717,0.24,0.248,0.235,-0.012,106,-0.072,-0.063,-0.22,-8.176,0.4,-4.717,-0.082,-0.109,-0.038,0.071,hitter,-0.07,-0.067,-0.214,-7.8,-0.388,-4.49,-0.079,-0.113,-0.042,0.071
Carter Jensen,29478,0.221,0.288,0.387,28.8,8.8,5.6,0.279,0.295,0.273,-0.022,250,22,695600,0.3,0.391,0.55,17.391,13.043,14.493,0.333,0.403,0.447,0.044,69,-0.079,-0.103,-0.163,11.409,-4.243,-8.893,-0.054,-0.108,-0.174,-0.066,hitter,-0.077,-0.108,-0.157,11.785,-5.032,-8.666,-0.051,-0.113,-0.178,-0.066
Casey Schmitt,27577,0.276,0.308,0.51,20.147,2.564,9.158,0.295,0.353,0.344,-0.009,273,27,669477,0.236,0.296,0.403,23.557,6.791,5.9,0.277,0.303,0.319,0.016,738,0.041,0.011,0.107,-3.41,-4.227,3.258,0.018,0.05,0.025,-0.025,hitter,0.043,0.007,0.112,-3.034,-5.015,3.485,0.021,0.045,0.02,-0.025
Ceddanne Rafaela,24262,0.288,0.342,0.453,20.532,5.323,4.563,0.346,0.35,0.299,-0.051,263,25,678882,0.248,0.287,0.404,22.504,3.99,6.185,0.298,0.299,0.292,-0.007,1247,0.04,0.055,0.048,-1.971,1.333,-1.623,0.048,0.051,0.007,-0.044,hitter,0.042,0.051,0.054,-1.595,0.545,-1.396,0.051,0.046,0.002,-0.044
Cedric Mullins,17929,0.198,0.289,0.314,18.257,9.129,2.49,0.222,0.276,0.269,-0.007,241,31,656775,0.224,0.302,0.398,22.4,9.365,3.85,0.258,0.305,0.287,-0.018,1452,-0.026,-0.012,-0.084,-4.143,-0.237,-1.36,-0.036,-0.029,-0.018,0.011,hitter,-0.024,-0.017,-0.079,-3.767,-1.025,-1.133,-0.033,-0.034,-0.022,0.012
Cesar Prieto,30163,0,0,0,11.765,0,5.882,0,0,0.251,0.251,17,27,693409,0.167,0.167,0.167,83.333,0,0,1,0.147,0,-0.147,6,-0.167,-0.167,-0.167,-71.569,0,5.882,-1,-0.147,0.251,0.398,hitter,-0.164,-0.171,-0.161,-71.193,-0.788,6.109,-0.997,-0.152,0.247,0.398
Cesar Salazar,21587,0.056,0.227,0.056,13.636,13.636,0,0.067,0.17,0.328,0.159,22,30,663967,0.259,0.359,0.297,17.436,8.718,0,0.315,0.303,0.305,0.002,67,-0.204,-0.132,-0.242,-3.8,4.918,0,-0.249,-0.134,0.023,0.157,hitter,-0.202,-0.137,-0.236,-3.424,4.13,0.227,-0.246,-0.138,0.019,0.157
Chad Stevens,29614,0.036,0.176,0.036,38.235,14.706,2.941,0.062,0.129,0.21,0.081,34,27,677060,0.154,0.154,0.154,50,0,0,0.333,0.136,0.169,0.033,14,-0.118,0.023,-0.118,-11.765,14.706,2.941,-0.271,-0.006,0.041,0.047,hitter,-0.116,0.018,-0.112,-11.389,13.917,3.168,-0.268,-0.011,0.037,0.048
Chadwick Tromp,16953,0.2,0.192,0.24,25.926,0,0,0.263,0.186,0.178,-0.008,27,31,644433,0.202,0.222,0.343,30.556,2.778,2.778,0.273,0.242,0.232,-0.01,92,-0.002,-0.03,-0.103,-4.63,-2.778,-2.778,-0.01,-0.055,-0.053,0.002,hitter,0,-0.035,-0.097,-4.254,-3.566,-2.551,-0.007,-0.06,-0.058,0.003
Chandler Simpson,31912,0.263,0.3,0.311,11.111,5.185,0,0.296,0.274,0.253,-0.021,270,25,802415,0.295,0.326,0.345,9.751,4.535,0,0.327,0.296,0.297,0.001,441,-0.032,-0.026,-0.035,1.361,0.65,0,-0.031,-0.022,-0.044,-0.022,hitter,-0.03,-0.031,-0.029,1.737,-0.138,0.227,-0.028,-0.027,-0.048,-0.021
Charles McAdoo,33323,0.167,0.167,0.292,25,0,4.167,0.176,0.198,0.243,0.046,24,24,807727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase DeLauter,32127,0.262,0.337,0.408,13.333,10.37,4.444,0.281,0.331,0.344,0.013,270,24,800050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase Meidroth,31580,0.275,0.346,0.395,22.449,9.184,3.401,0.346,0.331,0.295,-0.036,294,24,805367,0.253,0.329,0.32,14.257,8.911,1.188,0.291,0.294,0.3,0.006,505,0.022,0.017,0.075,8.192,0.273,2.213,0.054,0.038,-0.005,-0.042,hitter,0.024,0.013,0.081,8.568,-0.516,2.44,0.057,0.033,-0.009,-0.042
Christian Koss,27653,0.071,0.133,0.143,13.333,0,0,0.083,0.133,0.158,0.024,15,28,683766,0.264,0.309,0.368,23.56,4.712,4.188,0.336,0.297,0.311,0.014,191,-0.193,-0.175,-0.225,-10.227,-4.712,-4.188,-0.253,-0.163,-0.153,0.01,hitter,-0.191,-0.18,-0.219,-9.851,-5.5,-3.962,-0.25,-0.168,-0.157,0.011
Christian Vazquez,9774,0.218,0.277,0.34,16.77,7.453,1.242,0.241,0.274,0.233,-0.04,161,35,543877,0.208,0.263,0.302,19.072,6.245,2.743,0.241,0.251,0.268,0.016,884,0.01,0.013,0.038,-2.302,1.209,-1.5,0.001,0.022,-0.035,-0.057,hitter,0.012,0.009,0.044,-1.926,0.42,-1.274,0.004,0.017,-0.039,-0.056
Christian Walker,13419,0.245,0.316,0.495,21.498,8.143,7.818,0.258,0.349,0.314,-0.035,307,35,572233,0.244,0.313,0.443,25.575,7.74,8.302,0.287,0.325,0.328,0.003,1853,0.002,0.003,0.051,-4.077,0.404,-0.484,-0.029,0.024,-0.014,-0.038,hitter,0.004,-0.001,0.057,-3.701,-0.385,-0.257,-0.026,0.019,-0.019,-0.037
Christian Yelich,11477,0.272,0.345,0.411,28.249,9.605,3.39,0.371,0.332,0.292,-0.039,177,34,592885,0.275,0.359,0.461,23.952,10.798,6.233,0.334,0.354,0.343,-0.011,1591,-0.003,-0.014,-0.05,4.296,-1.194,-2.843,0.037,-0.022,-0.05,-0.028,hitter,-0.001,-0.019,-0.044,4.672,-1.982,-2.616,0.04,-0.027,-0.055,-0.028
Christopher Morel,21897,0.162,0.219,0.206,38.356,5.479,1.37,0.275,0.198,0.22,0.022,73,27,666624,0.212,0.291,0.385,30.499,9.084,7.447,0.272,0.295,0.314,0.019,1345,-0.05,-0.072,-0.179,7.857,-3.604,-6.077,0.003,-0.097,-0.094,0.003,hitter,-0.048,-0.077,-0.173,8.233,-4.393,-5.85,0.006,-0.102,-0.098,0.004
Chuckie Robinson,19824,0,0,0,16.667,0,0,0,0,0.197,0.197,6,31,642020,0.126,0.193,0.126,25.21,6.303,1.261,0.174,0.153,0.209,0.056,78,-0.126,-0.193,-0.126,-8.543,-6.303,-1.261,-0.174,-0.153,-0.012,0.141,hitter,-0.123,-0.198,-0.12,-8.167,-7.091,-1.034,-0.171,-0.157,-0.016,0.141
Coby Mayo,28312,0.194,0.259,0.383,32.487,7.107,6.091,0.241,0.283,0.294,0.011,197,24,691723,0.207,0.29,0.363,30.224,9.142,5.597,0.27,0.29,0.282,-0.008,340,-0.012,-0.032,0.02,2.263,-2.035,0.494,-0.029,-0.007,0.012,0.019,hitter,-0.01,-0.036,0.026,2.639,-2.824,0.721,-0.026,-0.012,0.008,0.02
Cody Bellinger,15998,0.272,0.366,0.467,12.211,13.531,5.941,0.279,0.364,0.371,0.007,303,30,641355,0.274,0.333,0.468,14.505,8.299,5.358,0.283,0.342,0.319,-0.023,1781,-0.001,0.033,-0.001,-2.294,5.233,0.582,-0.004,0.022,0.052,0.03,hitter,0.001,0.028,0.005,-1.918,4.444,0.809,-0.001,0.017,0.048,0.03
Cody Freeman,25629,0.286,0.333,0.286,33.333,6.667,0,0.444,0.285,0.184,-0.101,15,25,683227,0.228,0.258,0.342,15.702,4.132,3.306,0.247,0.261,0.269,0.008,121,0.058,0.075,-0.056,17.631,2.534,-3.306,0.197,0.024,-0.085,-0.109,hitter,0.06,0.07,-0.051,18.007,1.746,-3.079,0.2,0.019,-0.089,-0.108
Colby Thomas,31855,0.237,0.286,0.373,28.125,6.25,6.25,0.308,0.292,0.297,0.005,64,25,687515,0.225,0.267,0.417,37.121,5.303,7.576,0.309,0.291,0.281,-0.01,132,0.012,0.019,-0.044,-8.996,0.947,-1.326,-0.001,0.001,0.016,0.015,hitter,0.014,0.014,-0.038,-8.62,0.159,-1.099,0.002,-0.004,0.012,0.016
Cole Carrigg,33253,0.233,0.324,0.6,26.471,11.765,8.824,0.222,0.39,0.346,-0.044,34,24,694249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole Young,31680,0.257,0.319,0.357,18.729,6.689,3.679,0.303,0.303,0.33,0.027,299,22,702284,0.211,0.302,0.305,18.288,10.895,3.891,0.247,0.274,0.297,0.023,257,0.046,0.017,0.052,0.441,-4.206,-0.212,0.056,0.03,0.033,0.004,hitter,0.048,0.012,0.058,0.817,-4.994,0.015,0.059,0.025,0.029,0.004
Collin Price,31415,0.167,0.231,0.25,46.154,7.692,0,0.333,0.22,0.302,0.082,13,26,805672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colson Montgomery,29712,0.221,0.317,0.478,30.634,9.155,7.746,0.262,0.344,0.322,-0.021,284,24,695657,0.239,0.311,0.529,29.225,8.803,8.803,0.263,0.355,0.341,-0.014,284,-0.018,0.006,-0.052,1.408,0.352,-1.056,-0.001,-0.012,-0.019,-0.007,hitter,-0.016,0.001,-0.046,1.784,-0.436,-0.829,0.002,-0.016,-0.023,-0.007
Colt Emerson,33575,0.241,0.31,0.557,27.586,6.897,3.448,0.265,0.37,0.233,-0.137,87,20,806068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colt Keith,27899,0.267,0.311,0.39,20.574,5.263,6.22,0.322,0.31,0.322,0.012,209,24,690993,0.258,0.323,0.399,20.958,8.683,5.339,0.307,0.315,0.329,0.013,1024,0.009,-0.012,-0.009,-0.384,-3.419,0.881,0.015,-0.006,-0.007,-0.001,hitter,0.011,-0.017,-0.003,-0.008,-4.208,1.108,0.018,-0.01,-0.011,-0.001
Colton Cowser,29591,0.219,0.306,0.377,29.31,10.92,7.471,0.274,0.305,0.319,0.013,174,26,681297,0.216,0.294,0.41,33.09,8.539,7.753,0.287,0.306,0.309,0.003,998,0.002,0.012,-0.032,-3.78,2.38,-0.282,-0.014,-0,0.01,0.01,hitter,0.005,0.008,-0.026,-3.404,1.592,-0.055,-0.011,-0.005,0.006,0.011
Connor Joe,16572,0.182,0.308,0.333,28.205,15.385,5.128,0.238,0.294,0.369,0.074,39,33,656582,0.224,0.313,0.356,22.783,10.236,3.726,0.28,0.297,0.288,-0.009,968,-0.042,-0.006,-0.023,5.422,5.149,1.402,-0.042,-0.003,0.08,0.083,hitter,-0.04,-0.01,-0.017,5.798,4.36,1.629,-0.039,-0.008,0.076,0.083
Connor Norby,29592,0.207,0.321,0.335,29.412,10.86,4.525,0.292,0.302,0.285,-0.017,221,26,681393,0.247,0.298,0.402,28.319,5.955,6.881,0.321,0.304,0.309,0.005,531,-0.04,0.023,-0.067,1.092,4.905,-2.356,-0.03,-0.002,-0.025,-0.022,hitter,-0.037,0.018,-0.061,1.468,4.116,-2.13,-0.027,-0.007,-0.029,-0.022
Connor Wong,19896,0.276,0.368,0.382,21.348,8.989,2.247,0.368,0.34,0.295,-0.045,89,30,657136,0.244,0.303,0.358,24.465,6.633,3.745,0.313,0.291,0.279,-0.012,1078,0.033,0.065,0.024,-3.117,2.355,-1.497,0.056,0.049,0.017,-0.032,hitter,0.035,0.06,0.03,-2.741,1.567,-1.271,0.059,0.044,0.012,-0.032
Cooper Pratt,33530,0,0,0,0,0,0,0,0,NA,NA,3,21,806198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corbin Carroll,25878,0.277,0.367,0.535,21.333,11.333,8.333,0.323,0.387,0.37,-0.017,300,25,682998,0.252,0.337,0.498,21.669,10.344,7.381,0.286,0.355,0.352,-0.003,1971,0.025,0.029,0.036,-0.336,0.99,0.952,0.036,0.032,0.018,-0.014,hitter,0.027,0.025,0.042,0.04,0.201,1.179,0.039,0.027,0.014,-0.013
