Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.4275971621763511,0.46,170.99252674776318,8.847349496092647,73.48989215709098,-7.529936045408249,9.06881171737711,25,137,35,4,80,3,9,3,0,84,217,643,86,"Ronald Acuna Jr.",18401,660670
"Matt Olson","ATL",162,720,54,127,139,1,0.144444444,0.231944444,0.320723685,0.301790281,0.282894736,0.388888888,0.603618421,0.4127573844756973,0.392,161.0441746192641,0.18233340047299862,54.63199441340637,-13.40027129650116,6.552128186990309,29,88,27,3,104,8,4,4,0,167,172,608,73,"Matt Olson",14344,621566
"Shohei Ohtani","LAA",135,599,44,102,95,20,0.151919866,0.238731218,0.350100604,0.341853035,0.303822937,0.412457912,0.653923541,0.43348226798974615,0.427,179.4532030886358,2.476842259056866,59.5025666522237,-14.475308418273926,6.542575269388495,28,73,26,8,91,21,3,3,0,143,151,497,70,"Shohei Ohtani",19755,660271
"Marcell Ozuna","ATL",144,592,40,84,100,0,0.096283783,0.226351351,0.284905661,0.293296089,0.273584905,0.346283783,0.558490566,0.3809485860080687,0.393,139.72005950623986,-2.110026487149298,27.020615450484247,-15.492590963840485,3.1562644515006006,32,75,29,1,57,1,3,2,0,134,145,530,66,"Marcell Ozuna",10324,542303
"Aaron Judge","NYY",106,458,37,79,75,3,0.192139737,0.283842794,0.346049047,0.30049261,0.267029972,0.406113537,0.613079019,0.4203612742020452,0.461,172.1149568835673,-2.415911177173257,37.15931489977038,-5.632147014141083,4.713220872663394,31,45,16,0,88,9,0,3,0,130,98,367,66,"Aaron Judge",15640,592450
"Austin Riley","ATL",159,715,37,117,97,3,0.082517482,0.24055944,0.23427673,0.324200913,0.28144654,0.345454545,0.51572327,0.3627266293671899,0.365,127.50434813977395,0.6445437516085804,25.00726836825147,1.9380407631397247,5.110574037143042,26,107,32,3,59,4,9,11,0,172,179,636,66,"Austin Riley",18360,663586
"Pete Alonso","NYM",154,658,46,92,118,4,0.098784194,0.229483282,0.286971831,0.205333333,0.216549295,0.317629179,0.503521126,0.34571548181077455,0.368,120.8323632195641,-0.6589683881029487,16.322799109477373,-10.141361117362976,2.846838214515838,28,54,21,2,65,6,21,4,0,151,123,568,62,"Pete Alonso",19251,624413
"Adolis García","TEX",148,632,39,108,107,9,0.102848101,0.276898734,0.263063063,0.279538904,0.245045045,0.327531645,0.508108108,0.3541630371650563,0.366,126.25508678697113,1.4181438679806888,21.30028328279938,2.878420352935791,4.576689280649297,30,68,29,0,65,0,6,6,0,175,136,555,62,"Adolis Garcia",19287,666969
"Spencer Torkelson","DET",159,684,31,88,94,3,0.097953216,0.25,0.212871287,0.268948655,0.232673267,0.312865497,0.445544554,0.32570952534850134,0.349,107.70043368246431,0.10194586543366313,6.413028475688558,-15.310309171676636,1.4566210923170075,23,75,34,1,67,1,6,5,0,171,141,606,62,"Spencer Torkelson",27465,679529
"Kyle Schwarber","PHI",160,720,47,108,104,0,0.175,0.298611111,0.276923077,0.208588957,0.196581196,0.343055555,0.473504273,0.35009074886362035,0.364,119.64008547045147,-4.524109280202538,12.99428625550588,-27.766865730285645,0.9675190413396404,30,48,19,1,126,5,6,3,0,215,115,585,61,"Kyle Schwarber",16478,656941
"Bobby Witt Jr.","KCR",158,694,30,97,96,49,0.057636887,0.174351585,0.218408736,0.295180722,0.276131045,0.318903318,0.494539781,0.3433004379100193,0.369,114.26390534923259,7.5990446037612855,19.460295626269343,14.731022834777832,5.7875751609553365,23,108,28,11,40,1,4,8,1,121,177,641,61,"Bobby Witt Jr.",25764,677951
"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.4164887061153633,0.407,166.45253366277686,0.6592426486313343,57.7102394174963,-4.076601624488831,7.697293495208662,30,99,40,1,96,3,8,5,0,107,179,584,60,"Mookie Betts",13611,605141
"Corey Seager","TEX",119,536,33,88,96,2,0.09141791,0.164179104,0.295597484,0.339779005,0.327044025,0.389925373,0.622641509,0.4185934797410042,0.412,170.91323881977186,-2.8136589187197387,42.7296613821659,1.8847360610961914,6.28552621913318,29,81,42,0,49,9,4,6,0,88,156,477,60,"Corey Seager",13624,608369
"Matt Chapman","TOR",140,581,17,66,54,4,0.106712564,0.283993115,0.184675835,0.319148936,0.239685658,0.330464716,0.424361493,0.3283698886632919,0.337,109.70079362026786,-0.7790380190126598,5.974260943252911,4.0844807624816895,2.9939222720755008,30,64,39,2,62,1,8,2,0,165,122,509,59,"Matt Chapman",16505,656305
"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.4105788874426924,0.408,162.49068474850915,4.522620507050306,61.03669263047002,-7.401330471038818,7.822885360268487,33,121,59,2,72,12,16,5,0,121,211,637,58,"Freddie Freeman",5361,518692
"Teoscar Hernández","SEA",160,678,26,70,93,7,0.056047197,0.311209439,0.1776,0.341772151,0.2576,0.305309734,0.4352,0.31650540761693696,0.336,106.4818230290265,-4.3939368557184935,0.8718035074447643,-4.661362648010254,1.9453903635708372,30,104,29,2,38,2,8,7,0,211,161,625,58,"Teoscar Hernandez",13066,606192
