Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,Barrels,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",158,727,55,146,102,20,0.149931224,0.257221458,0.340425532,0.315363881,0.281505728,0.391724137,0.62193126,0.4178216946885941,0.42509599165482953,172.3156045629402,3.68583376519382,65.99624792750109,-17.067899703979492,7.480792058944386,30,83,25,9,109,20,3,2,0,187,172,611,100,"Shohei Ohtani",19755,660271
"Aaron Judge","NYY",152,679,53,137,114,12,0.182621502,0.235640648,0.356746765,0.376119402,0.330868761,0.456553755,0.687615526,0.46277131105470437,0.45925570055028764,204.45786957330023,-4.1219737734645605,79.47364432501234,-3.857860565185547,10.127968928730343,33,94,30,2,124,36,7,7,0,160,179,541,96,"Aaron Judge",15640,592450
"Pete Alonso","NYM",162,709,38,87,126,1,0.086036671,0.228490832,0.251602564,0.304849884,0.272435897,0.346967559,0.524038461,0.36833570584316144,0.38566869353162786,141.20800005483187,-5.412638096138835,29.214928916447448,-17.770400047302246,3.584453718049932,30,90,41,1,61,5,15,9,0,162,170,624,89,"Pete Alonso",19251,624413
"Kyle Schwarber","PHI",162,724,56,111,132,10,0.14917127,0.272099447,0.322847682,0.252840909,0.240066225,0.364640883,0.562913907,0.39137705031543724,0.40230382602750175,152.08051640783808,-1.0838493537157774,43.60591388544292,-19.55276131629944,4.925535815538705,32,64,23,2,108,6,11,1,0,197,145,604,85,"Kyle Schwarber",16478,656941
"Juan Soto","NYM",160,715,43,120,105,38,0.177622377,0.191608391,0.26169844,0.270471464,0.263431542,0.395511921,0.525129982,0.38982828523431506,0.42858725180782814,155.93110814120718,2.709598133340478,50.106905643967146,-17.2331223487854,5.797359468206164,26,88,20,1,127,13,3,6,1,137,152,577,81,"Juan Soto",20123,665742
"Cal Raleigh","SEA",159,705,60,110,125,14,0.137588652,0.266666666,0.342281879,0.247863247,0.246644295,0.358865248,0.588926174,0.39200781996166983,0.37054980078408883,161.1147743082231,-2.7582405656576157,48.02353761796966,16.27897024527192,9.062054664734982,28,63,24,0,97,17,9,3,0,188,147,596,80,"Cal Raleigh",21534,663728
"Salvador Perez","KCR",155,641,30,54,100,0,0.043681747,0.1950078,0.209380235,0.250564334,0.236180904,0.283699059,0.445561139,0.3105423916572643,0.3572396373296801,95.44811914512562,-4.780537771061063,-8.219453157736503,-8.693504691123962,0.5272796497689582,35,76,35,0,28,5,12,1,0,125,141,597,70,"Salvador Perez",7304,521692
"Riley Greene","DET",157,655,36,84,111,2,0.070229007,0.306870229,0.235,0.323369565,0.258333333,0.312977099,0.493333333,0.3432960526658854,0.3345828975012543,120.77683357750392,-2.0125542730093002,14.027034736477539,-8.058530390262604,2.9176494436934544,24,87,31,1,46,1,4,5,0,201,155,600,69,"Riley Greene",25976,682985
"Seiya Suzuki","CHC",151,651,32,75,103,5,0.10906298,0.251920122,0.232924694,0.281984334,0.245183887,0.325652841,0.478108581,0.34336035976043117,0.35235200714440484,122.59029453466638,-0.5229970496147871,16.906990932911746,-13.185039922595024,2.5968972423580103,30,74,31,3,71,1,1,8,0,164,140,571,69,"Seiya Suzuki",30116,673548
"Junior Caminero","TBR",154,653,45,93,110,7,0.062787136,0.191424196,0.270764119,0.259681093,0.264119601,0.310872894,0.53488372,0.356518121127702,0.34550213557417675,129.25356454772745,0.03178890980780125,22.54640513563701,-0.3857278823852539,4.567267109097978,21,86,28,0,41,1,3,7,0,125,159,602,68,"Junior Caminero",28163,691406
"Rafael Devers","- - -",163,729,35,99,109,1,0.153635116,0.263374485,0.227347611,0.307291666,0.252059308,0.371742112,0.479406919,0.3650801973482166,0.3668786212490194,135.33665120111453,-5.801270661875606,24.62917080887631,-16.780409574508667,3.324053998386107,28,85,33,0,112,10,6,4,0,192,153,607,67,"Rafael Devers",17350,646240
