Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Age,1B,2B,3B,BB,IBB,HBP,SF,SH,SO,H,AB,NameASCII,PlayerId,MLBAMID
"J.P. Martínez","TEX",17,44,1,7,4,0,0.045454545,0.363636363,0.1,0.32,0.225,0.25,0.325,0.24585041403770447,0.23,51.181233538314174,0.4115990870632231,-2.162184673656527,-2.414282441139221,-0.3056747142506574,27,7,1,0,2,0,0,2,0,16,9,40,"J.P. Martinez",24451,679881
"Grae Kessinger","HOU",26,45,1,3,1,0,0.111111111,0.266666666,0.125,0.259259259,0.2,0.288888888,0.325,0.27519592576556734,0.299,73.04086697104712,-1.1482821544632316,-2.6019025698714477,2.635816812515259,0.15748552337192778,25,5,2,0,5,0,0,0,0,12,8,40,"Grae Kessinger",25813,666197
"Kyren Paris","LAA",15,46,0,4,1,3,0.086956521,0.369565217,0,0.173913043,0.1,0.2,0.1,0.15643914937973022,0.237,-12.571455068003033,0.12922379607334733,-6.0754462253193395,1.3089198470115662,-0.3177778967695342,21,4,0,0,4,0,1,0,1,17,4,40,"Kyren Paris",26420,677347
"Jordyn Adams","LAA",17,40,0,1,1,1,0,0.4,0,0.208333333,0.128205128,0.125,0.128205128,0.11031703650951385,0.175,-44.53970247223585,-0.6974756405688822,-7.625026550064287,-2.2197209000587463,-0.8447125730531898,23,5,0,0,0,0,0,1,0,16,5,39,"Jordyn Adams",23788,677941
"Marco Luciano","SFG",14,45,0,4,0,1,0.133333333,0.377777777,0.076923077,0.409090909,0.23076923,0.333333333,0.307692307,0.29337604840596515,0.292,84.1898320325871,0.19897369854152203,-0.6824149554049754,0.345931701362133,0.11891893819320429,21,6,3,0,6,0,0,0,0,17,9,39,"Marco Luciano",25616,682617
"Spencer Horwitz","TOR",15,44,1,5,7,0,0.09090909,0.272727272,0.128205128,0.346153846,0.256410256,0.34090909,0.384615384,0.3222498040307652,0.296,105.4588288122376,-0.1572482530027628,0.13054773136552095,-0.1963755488395691,0.14411496809232183,25,7,2,0,4,0,1,0,0,12,10,39,"Spencer Horwitz",26477,687462
"Tyler Heineman","- - -",22,47,0,5,3,1,0.170212765,0.170212765,0.078947368,0.3,0.236842105,0.382978723,0.315789473,0.3251831975389034,0.33,106.90634993917132,0.5377356056123972,0.8814612709282159,1.8536318391561508,0.43332683507836195,32,7,1,1,8,0,1,0,0,8,9,38,"Tyler Heineman",13897,623168
"Sean Bouchard","COL",21,43,4,11,7,0,0.093023255,0.325581395,0.368421053,0.38095238,0.315789473,0.372093023,0.684210526,0.43215670142062873,0.372,162.0725787985757,-0.7666780790314078,2.539960298445801,0.6686122417449951,0.46564650324497137,27,6,2,0,4,0,0,1,0,14,12,38,"Sean Bouchard",21270,656248
"Coco Montes","COL",18,41,1,3,3,0,0.048780487,0.292682926,0.131578947,0.24,0.184210526,0.243902439,0.315789473,0.24730674958810572,0.201,38.15209637214326,-0.09484065184369683,-3.236270010263047,-1.757729396224022,-0.35907002234594193,26,4,2,0,2,0,1,0,0,12,7,38,"Coco Montes",21547,663796
"Andrew Stevenson","MIN",25,40,0,4,1,4,0.05,0.2,0.027027027,0.24137931,0.189189189,0.25,0.216216216,0.2164197728037834,0.202,31.437231619735247,0.3228188599459827,-2.9632821927489448,1.5899355858564377,0.00003435595511958392,29,6,1,0,2,0,1,0,0,8,7,37,"Andrew Stevenson",17932,664057
